Metal,Cluster,Method,Energy_1(meV),Energy_2(meV),Energy_3(meV),Energy_4(meV)
Au,8,B3LYP-D30,0.0,532.0742799999998,591.7882799999994,595.0416499999989
Au,8,B3LYP-D3,0.0,389.9456100000016,408.14986999999905,495.47748999999897
Au,8,B3LYP-D4,0.0,113.2039299999974,241.60771000000025,202.69916999999893
Au,8,B2PLYP,0.0,321.10899847996427,343.29194451117036,372.9841200028154
Au,8,HF,0.0,1296.8257587947373,872.2221962337059,1551.4471252199635
Au,8,MP2,0.0,-674.6570057027872,67.01920901810841,-856.5064958037583
Au,8,CCSD,0.0,538.218857783016,500.27148699157885,689.2561082041061
Au,8,CCSD(T),0.0,73.80726602105125,228.21874762585463,118.9411622026081
Ag,4,PBE,0.0,200.80756999999937,615.1006799999994,921.3880300000002
Ag,4,PBE-D2,0.0,214.97371000000066,650.3386600000001,752.2742600000001
Ag,4,PBE-DDSC,0.0,221.4477300000004,658.7260000000006,906.7478000000007
Ag,4,PBE-D30,0.0,201.64897000000082,625.6160100000008,885.9624699999999
Ag,4,PBE-D3,0.0,231.52631000000045,683.80727,906.0243000000004
Ag,4,PBE-TS,0.0,199.85821000000038,618.2892200000003,919.3013200000006
Ag,4,PBE-TSHI,0.0,203.10465000000022,620.6868300000003,925.4115700000006
Ag,4,PBE-D4,0.0,235.1116900000001,690.5481799999995,904.20737
Ag,4,PBE-MBDHI,0.0,243.97827999999944,691.4492999999995,900.5387799999997
Ag,4,PBE-MBDFI,0.0,240.42215999999962,690.2659900000003,905.3881600000002
Ag,4,revPBE,0.0,132.57575,469.5671800000003,869.3426300000002
Ag,4,REVPBE-D30,0.0,151.52652,516.4499999999998,742.5014499999997
Ag,4,revPBE-D3,0.0,198.58511999999973,615.06742,834.7443999999999
Ag,4,revPBE-D4,0.0,201.88521999999944,617.60532,833.8014499999992
Ag,4,PBEsol,0.0,297.01956000000075,842.5003900000005,1020.3038200000005
Ag,4,PBEsol-D3,0.0,306.71554999999984,871.7931500000002,1016.0594200000004
Ag,4,PBEsol-D4,0.0,302.9776999999996,860.54151,1017.7548600000001
Ag,4,vdW-DF,0.0,95.16788999999903,367.37680999999964,787.44369
Ag,4,vdW-DF2,0.0,64.20095000000003,285.4122299999995,774.1293499999999
Ag,4,optB86b-vdW,0.0,236.65205,696.2588400000005,924.01832
Ag,4,rev-vdW-DF2,0.0,213.81522000000075,638.1904099999999,919.7947100000006
Ag,4,TPSS,0.0,247.6860300000041,733.8898900000004,958.8047200000034
Ag,4,R2SCAN,0.0,273.7860000000012,798.1607700000097,970.0934399999994
Ag,4,R2SCAN-D3,0.0,278.37537999999995,811.8430199999978,968.0658200000067
Ag,4,R2SCAN-D4,0.0,276.97344999999984,807.9460499999982,968.7270600000062
Ag,4,R2SCAN-RVV10,0.0,296.9750599999941,848.35554,973.0317199999945
Ag,4,SCAN-rVV10,0.0,298.4637999999933,878.2538100000039,995.5640599999924
Ag,4,PBE0,0.0,220.00153999999927,697.5960699999995,937.0031299999999
Ag,4,PBE0-D30,0.0,222.29891000000012,711.4262299999998,888.2714800000002
Ag,4,PBE0-D3,0.0,249.91247999999987,766.1239799999997,921.9206199999999
Ag,4,PBE0-D4,0.0,247.38211999999925,760.0167899999999,923.3648199999998
Ag,4,PBE0-TSHI,0.0,223.0361900000002,703.2747199999995,943.9117999999995
Ag,4,PBE0-MBDHI,0.0,250.46943000000078,755.3131300000002,920.2289800000001
Ag,4,PBE0-MBDFI,0.0,253.69996999999955,761.1967899999996,923.7678699999998
Ag,4,HSE06,0.0,216.21311999999992,677.4590099999998,931.5384900000004
