Metal,Method,Energy1(meV),Energy2(meV),Energy3(meV),Energy4(meV),Energy5(meV),Energy6(meV),Energy7(meV),Energy8(meV)
Au,B3LYP-D30,0.0,1206.373400000075,708.5864599998786,655.1960699998745,609.4110500000625,65.31386999995448,477.1448500000588,486.26599999988684
Au,B3LYP-D3,0.0,1208.7783399999807,664.9298800000452,837.8363300000728,914.2788700000892,460.0178800001231,694.5694600001389,726.6312700000981
Au,B3LYP-D4,0.0,1255.960830000049,671.9755799999803,904.653430000053,979.6267500000795,468.8440699999319,702.4337100001503,763.0533300000479
Au,HF,0.0,698.8069812380513,587.0555531779078,975.1874257513185,1049.786952123858,1012.8067575483518,1207.9368593914949,1040.9558136434298
Au,MP2,0.0,1690.9341147726232,999.8734286086285,1377.4172415155404,1460.8947862984605,885.9618651991254,1194.7703750967457,1239.5351227107494
Au,CCSD,0.0,1353.8528461460885,816.4457597501099,1219.8472002709723,1307.453208367251,904.469194855571,1161.5398325699443,1144.370349258775
Au,CCSD(T),0.0,1466.1707644559042,824.5459785538222,1264.0800016005587,1340.3237048637914,815.850440546422,1107.4842803288716,1108.1336774279966
Ag,PBE,0.0,520.644030000085,292.06597000006695,522.2280699999828,541.8211100000008,235.8695099999295,457.9398600001241,360.1182400000198
Ag,PBE-D2,0.0,710.3964800000995,427.024240000037,501.2318500000674,474.3989200001124,45.27019000011023,269.49278000006416,176.36510000011185
Ag,PBE-D2-Ne,0.0,592.6004600000851,337.53344999990986,483.93259999988913,486.4407499999288,128.89382000003025,339.0737199999876,234.3387299999904
Ag,PBE-DDSC,0.0,565.3652399998919,298.3695099999295,441.1429300000691,445.23185999992165,95.99157999991803,328.9637400000629,235.22748999994292
Ag,PBE-D30,0.0,653.5000400001536,349.0231400000994,375.13882999996895,339.4744400000036,-122.47982999997475,180.86239000012938,80.41878000017277
Ag,PBE-D3,0.0,612.1810899999218,309.0037899999061,433.3831100000225,442.63765999994575,42.00575000004392,302.9439499998716,193.20207999999184
Ag,PBE-TS,0.0,507.23431000005803,237.2224499999902,249.47861999999077,306.8128100001104,-5.450240000072881,201.5620399999989,90.49989999994068
Ag,PBE-TSHI,0.0,599.5219299998098,311.3466999998309,531.0067399998388,527.7754199998981,148.8268099999459,390.1638899999398,289.9923399997988
Ag,PBE-D4,0.0,590.9936699999889,305.30040999997254,457.9274699999587,470.2228199998899,87.1041799998693,340.81899999978305,233.2157799999095
Ag,PBE-MBDHI,0.0,583.6534600000505,307.53892000007,501.4167700001053,513.7657699999636,141.93487000011373,395.0484700001198,288.2351400000971
Ag,PBE-MBDFI,0.0,578.6608799999158,297.919580000098,369.2974299999605,379.4888600000377,-24.08517000003485,234.8466799999187,128.70889999999235
Ag,revPBE,0.0,410.67173999999795,260.6379899998501,494.8625299998639,524.8486399998455,319.09913000004053,494.59006999995836,409.06969999991816
Ag,REVPBE-D30,0.0,713.8872000000447,420.3519000000142,341.8855899999471,232.54614000006768,-324.6837700000924,19.785019999972064,-63.28235999990284
Ag,revPBE-D3,0.0,588.6226400000396,290.12895999994726,318.63601999998536,327.8009999999085,-72.71558000002187,181.8484499999613,71.0429099999601
Ag,revPBE-D4,0.0,540.4187300000558,277.619790000017,394.68048000003364,406.94093000001885,39.28846999997404,278.1044399998791,171.34691000001112
Ag,PBEsol,0.0,692.945649999956,360.2010600000085,626.220629999807,632.4849399998129,184.65083999990384,482.54970999983016,362.0391599999948
Ag,PBEsol-D3,0.0,773.8061799998377,378.5516599998573,546.5469999999186,544.6785599999657,28.965859999971144,355.0241200000528,226.7349500000364
Ag,PBEsol-D4,0.0,733.7142599999424,369.17906999997285,588.7048199999754,590.3038199999173,106.51654000002964,419.04161000002205,294.5411400000921
Ag,vdW-DF,0.0,382.18385000004673,230.3106699999944,351.04425999998057,381.2072700000044,198.14433999999892,344.6169500000451,279.7651200000928
Ag,vdW-DF2,0.0,363.7624400000732,208.20362000006298,331.56397000004745,360.05255999998553,191.40004000007593,319.71950000001925,267.1215899999879
Ag,optB86b-vdW,0.0,614.9749700000484,319.18785000004846,488.85123000002295,500.5554400000847,115.60177000001204,369.2814800000406,269.8479900000166
Ag,rev-vdW-DF2,0.0,589.9435400000357,312.11289999998826,501.30792000004476,515.0622099999964,154.45902999999817,396.8022999999903,301.2411400000019
Ag,R2SCAN,0.0,646.5786500000377,340.6369699998777,567.1952099999089,577.393979999897,168.82093000003806,449.4188500000291,336.5313799999967
Ag,R2SCAN-D3,0.0,687.1810100001312,349.7081000000435,526.7646300001161,532.827030000135,90.29479000014362,384.9388700000418,268.15688000010596
Ag,R2SCAN-D4,0.0,672.2729299999628,346.1809400000675,543.1892799999787,550.4509099998813,119.2563600000085,408.9982799998779,293.59965000003285
