Metal,Cluster,Method,Energy_1(meV/atom),Energy_2(meV/atom),Energy_3(meV/atom),Energy_4(meV/atom)
Cu,8,PBE0-D4,1722.20647125,1885.42216875,1745.503355,1906.8201324999998
Cu,8,PBE0-TSHI,1683.47313875,1830.0438512500002,1707.9000150000004,1848.0796500000004
Cu,8,PBE0-MBDHI,1720.59358625,1887.3478400000004,1746.1855425,1910.02078125
Cu,8,PBE0-MBDFI,1723.3061837500002,1893.72323125,1749.1855925,1916.8466575000002
Cu,8,HSE06,1655.3330362499999,1803.4795337499997,1677.4534637499999,1823.0332737499998
Cu,8,HSE06-D4,1717.8779774999998,1881.2024099999999,1742.67526,1902.9650275000001
Cu,8,B3LYP,1571.54008625,1649.7142175,1574.3717499999998,1662.350155
Cu,8,B3LYP-D2,1616.0514687500001,1707.6256675000002,1611.6840012499997,1728.7012975
Cu,8,B3LYP-D30,1629.08808875,1715.45127125,1632.8716074999998,1732.11887125
Cu,8,B3LYP-D3,1714.84997,1837.9424587500002,1726.20730125,1857.6860775
Cu,8,B3LYP-D4,2080.3272812500004,2275.00247,2115.0048637500004,2301.3363675
