Metal,Cluster,Method,Energy_1(meV/atom),Energy_2(meV/atom),Energy_3(meV/atom),Energy_4(meV/atom)
Ag,8,HSE06-D4,1399.7400575000001,1494.7072587500002,1407.75023125,1512.26348125
Ag,8,B3LYP,1226.64474875,1239.601045,1212.43053875,1247.7257812500002
Ag,8,B3LYP-D2,1295.59617125,1349.3192924999998,1279.00414625,1370.34476125
Ag,8,B3LYP-D30,1298.455865,1340.33472125,1277.5635125,1360.87276375
Ag,8,B3LYP-D3,1399.77529,1480.8146450000002,1399.277745,1499.93608875
Ag,8,B3LYP-D4,1610.59038125,1733.9603825000002,1628.775235,1757.30712125
Cu,4,PBE,1590.1134025000001,1494.138735,1283.9779225000002,1327.34683
Cu,4,PBE-D2,1598.476425,1502.493065,1290.7442525,1337.3415774999999
Cu,4,PBE-DDSC,1607.6359725,1508.616055,1294.5317925,1349.507015
Cu,4,PBE-D30,1597.1674725,1503.4806925,1292.4645150000001,1330.8836775
Cu,4,PBE-D3,1628.3731575,1528.1562075,1310.98727,1367.96536
Cu,4,PBE-TS,1597.3947425,1503.2869600000001,1291.9389225,1328.61614
Cu,4,PBE-TSHI,1597.6671525000002,1502.92176,1291.9061875,1328.45456
Cu,4,PBE-D4,1632.2740625000001,1531.47891,1313.54464,1372.13516
Cu,4,PBE-MBDHI,1630.9765699999998,1527.9467874999998,1311.26901,1369.8911349999998
Cu,4,PBE-MBDFI,1629.88186,1527.8550125000002,1310.4664324999999,1368.2696725
Cu,4,revPBE,1409.8025925,1328.0176374999999,1136.1597875,1148.2324724999999
Cu,4,REVPBE-D30,1426.118325,1345.9328525,1150.9740375,1159.7130375
Cu,4,revPBE-D3,1490.489765,1399.27116,1192.3242675000001,1234.1698125000003
Cu,4,revPBE-D4,1493.37721,1400.5500775,1192.8249675,1238.1547074999999
Cu,4,PBEsol,1764.1055825,1644.7882525000002,1400.4091525,1499.3018775000003
Cu,4,PBEsol-D3,1784.4550700000002,1664.3008,1416.8252,1520.04928
Cu,4,PBEsol-D4,1777.3510599999997,1657.463935,1411.1013475,1512.805365
Cu,4,vdW-DF,1368.7913649999998,1306.8280175,1145.4213574999999,1109.8653199999999
Cu,4,vdW-DF2,1430.7929000000001,1383.741625,1239.7451550000003,1165.2685375000003
Cu,4,optB86b-vdW,1600.5040999999997,1502.9815875,1290.31992,1340.3460374999997
Cu,4,rev-vdW-DF2,1575.5032325000002,1484.3675700000003,1282.0244700000003,1313.0120675
Cu,4,TPSS,1579.6218900000003,1470.148139999999,1238.0752674999992,1321.9920149999994
Cu,4,R2SCAN,1650.7109824999998,1533.1602150000006,1287.1699124999996,1385.8033550000002
Cu,4,R2SCAN-D3,1660.6610625,1542.6670800000002,1295.1980500000006,1395.9733274999992
Cu,4,R2SCAN-D4,1658.341740000001,1540.4657200000001,1293.3797699999996,1393.5861749999995
Cu,4,R2SCAN-RVV10,1680.0554000000006,1558.5927349999995,1307.3449650000005,1416.85924
Cu,4,SCAN-rVV10,1663.9573824999995,1542.8252249999996,1281.36119,1394.1086149999985
Cu,4,PBE0,1324.7153800000003,1232.0537124999998,1052.8968525,1052.01672
Cu,4,PBE0-D30,1332.8978225,1242.0682424999998,1061.7903025,1056.440165
Cu,4,PBE0-D3,1363.1329150000001,1266.66273,1080.5682525,1092.4682875
Cu,4,PBE0-D4,1360.569695,1264.352205,1078.7244074999999,1089.714125
Cu,4,PBE0-TSHI,1331.9406950000002,1240.2360125,1060.5376400000002,1053.0163475
Cu,4,PBE0-MBDHI,1356.7988525000003,1259.326545,1075.1137075,1084.7777425
Cu,4,PBE0-MBDFI,1358.6405875,1260.9226850000002,1075.7470924999998,1086.5301975000002
Cu,4,HSE06,1324.23046,1232.14633,1057.0284024999999,1052.664045
Cu,4,HSE06-D4,1359.0816875000003,1263.590255,1082.1996400000003,1089.2744400000001
Cu,4,B3LYP,1261.48416,1197.4714775,1056.574505,983.3793
Cu,4,B3LYP-D2,1273.19248,1209.16799,1066.047365,997.3715924999999
Cu,4,B3LYP-D30,1276.1790125,1214.8232225,1071.4915125,991.46226
Cu,4,B3LYP-D3,1347.6454075,1272.7351675,1115.5653949999999,1075.81574
Cu,4,B3LYP-D4,1661.1198425000002,1556.7156999999997,1333.2506474999998,1402.9623199999999
Cu,6,PBE,1914.440336666667,1890.842816666667,1870.6202116666666,1724.0125983333335
Cu,6,PBE-D2,1933.1028516666665,1916.4364249999999,1890.1246133333334,1744.455865
Cu,6,PBE-DDSC,1942.668895,1924.1547616666664,1907.002966666667,1752.813601666667
Cu,6,PBE-D30,1934.7966466666667,1914.6669733333333,1886.423525,1743.9104266666668
Cu,6,PBE-D3,1969.7553983333335,1952.183875,1934.3522116666668,1778.6159466666668
Cu,6,PBE-TS,1935.3301616666668,1916.8304133333334,1886.7835366666666,1744.3533616666666
Cu,6,PBE-TSHI,1934.7455283333331,1915.3147766666668,1885.7839583333334,1742.8079066666667
Cu,6,PBE-D4,1975.2953016666668,1958.4175999999998,1940.8582666666669,1784.1079466666665
Cu,6,PBE-MBDHI,1977.97637,1961.5899916666667,1944.8694649999998,1786.0344833333331
Cu,6,PBE-MBDFI,1976.8379333333335,1960.572738333333,1943.8780116666665,1785.6038916666669
Cu,6,revPBE,1706.2648,1674.6320983333335,1646.1220716666667,1516.5158450000001
Cu,6,REVPBE-D30,1747.4510050000004,1729.5533716666664,1683.970553333333,1558.7352700000001
Cu,6,revPBE-D3,1822.1579483333335,1804.0587583333333,1780.6877733333338,1631.0422283333335
Cu,6,revPBE-D4,1823.85286,1807.0636783333332,1785.160313333333,1633.1338616666667
Cu,6,PBEsol,2120.9440699999996,2110.1809949999997,2109.010625,1925.866815
Cu,6,PBEsol-D3,2153.1230849999997,2143.8241883333335,2142.991225,1957.2822083333333
Cu,6,PBEsol-D4,2141.9113083333336,2132.07,2131.1245183333335,1946.357093333333
Cu,6,vdW-DF,1657.9583516666664,1619.8727783333331,1571.01093,1474.84293
Cu,6,vdW-DF2,1724.5730883333335,1674.4093433333335,1605.1775150000003,1548.1020416666665
Cu,6,optB86b-vdW,1934.941325,1916.4838433333334,1899.8598416666664,1744.4368149999998
Cu,6,rev-vdW-DF2,1903.5797116666668,1881.1896250000002,1858.321956666667,1714.7422200000003
Cu,6,TPSS,1909.3123266666669,1893.9715699999997,1896.3646783333327,1712.4520416666655
Cu,6,R2SCAN,2005.4955433333337,1991.6532866666666,1987.0558466666655,1805.26811
Cu,6,R2SCAN-D3,2021.1609800000003,2008.063063333334,2003.6644699999995,1820.593725000001
Cu,6,R2SCAN-D4,2017.5779249999994,2004.2511333333337,1999.7921450000008,1817.0983333333338
Cu,6,R2SCAN-RVV10,2042.7029950000008,2032.4466233333335,2031.6480083333345,1842.527145
Cu,6,SCAN-rVV10,2028.1694516666669,2009.6739916666663,2011.5918350000009,1822.4650466666644
Cu,6,PBE0,1626.6993100000002,1603.1017050000003,1569.040315,1402.1103866666672
Cu,6,PBE0-D30,1649.4592799999998,1631.584763333333,1587.9171183333333,1424.8582383333335
Cu,6,PBE0-D3,1683.1959216666667,1665.2379866666668,1633.1383916666666,1457.7199583333334
Cu,6,PBE0-D4,1679.5820033333332,1661.1458783333333,1628.8647983333335,1454.1430250000003
Cu,6,PBE0-TSHI,1645.8135233333335,1626.06858,1583.150036666667,1419.06774
Cu,6,PBE0-MBDHI,1677.5889783333334,1659.5515833333336,1627.7218183333332,1451.405825
Cu,6,PBE0-MBDFI,1680.198331666667,1662.777615,1631.2624216666668,1454.7765983333334
Cu,6,HSE06,1624.9393483333333,1602.7186666666664,1567.3621416666667,1403.8770216666667
Cu,6,HSE06-D4,1676.4397416666666,1659.178995,1625.5168983333333,1454.5343516666667
Cu,6,B3LYP,1544.6680066666668,1501.8927166666665,1435.8239716666665,1333.337525
Cu,6,B3LYP-D2,1570.7955316666664,1537.7237666666665,1463.13013,1361.9580966666667
Cu,6,B3LYP-D30,1584.6298633333333,1553.4711683333335,1469.9896966666665,1373.4808
Cu,6,B3LYP-D3,1666.6432183333334,1639.0038100000002,1579.3062916666668,1454.1795483333333
