Metal,Method,Energy1(meV),Energy2(meV),Energy3(meV),Energy4(meV),Energy5(meV),Energy6(meV),Energy7(meV),Energy8(meV)
Au,vdW-DF2,1274.9714499999438,428.9615699999563,773.08545999994,541.7367399999468,455.10770999995697,642.0961900000282,561.517050000023,508.6772899999681
Au,optB86b-vdW,1814.1807299999616,576.4157000000454,1137.3239399999768,827.7425799999816,758.3253299999822,1255.8733999999417,1026.1110900000206,959.5157300000179
Au,rev-vdW-DF2,1701.2598300000118,495.5116900000096,1035.1560000000268,704.1303000000205,633.6048500000237,1106.700069999976,885.2733599999208,822.7723599999996
Au,R2SCAN,1739.464440000006,418.65793999997436,999.7603999999853,628.0762999999752,548.6260099998646,1050.2170599999658,808.9518799998814,733.1843400000508
Au,R2SCAN-D3,1993.435689999842,625.7532399999235,1242.7237000000132,929.7119999998245,851.335279999887,1385.5317000000014,1134.3300199999362,1053.1123299999335
Au,R2SCAN-D4,1895.7004600001283,545.2061400000332,1149.797550000045,815.5718299999819,737.1891400000692,1260.7590500001465,1013.058259999994,933.5635800000546
Au,R2SCAN-RVV10,1941.793009999813,573.9936999999742,1192.1730599998882,874.9014199999294,796.7248299999454,1340.1951099999537,1087.0113599998062,1002.41257999987
Au,SCAN-rVV10,2127.080889999974,588.9272100001222,1278.1670400001417,892.6808800000288,805.0628200001029,1415.6486099999483,1135.6735700001082,1023.0686099999389
Au,PBE0,1301.3328000001484,127.91749000008501,593.2075000001711,170.5014700001266,100.03613000021039,507.47840000016754,255.1693000001438,260.5141200001779
Au,PBE0-D30,1997.352800000007,688.490179999965,1237.0475700001148,1105.1978999999687,1102.320330000047,1672.1981200000796,1290.2067700000855,1288.7984600001387
Au,PBE0-D3,1828.1230699999535,539.055859999852,1096.4928299999283,824.9812199999886,753.5849699999604,1255.9647100000705,975.945819999899,965.2845499999025
Au,PBE0-D4,1654.350039999949,400.75258000009615,930.4627000000845,613.3098600001227,542.0576900001488,1019.2701100001211,746.4766800000917,739.9206399999917
Au,PBE0-TSHI,1563.8336999998712,305.2857199998518,824.8981899999666,433.06031999992547,381.9375299998935,844.9753699999918,581.5088800000052,574.9680099998358
Au,HSE06,1298.345660000077,131.65467000008047,592.448980000015,170.0144099999772,99.17463999997267,502.80649000000466,252.1651599999384,258.33662999996676
Au,HSE06-D4,1644.8588800000277,399.6208000000032,923.4405299998798,603.901480000058,532.5329299998996,1003.9659599999187,733.4410099999236,728.0445599999896
