Metal,Method,Energy 1 (meV),Energy 2 (meV),Energy 3 (meV),Energy 4 (meV)
Ag,rev-vdW-DF2,0.0,205.75567000003048,584.1316900000493,648.8241499999958
Ag,R2SCAN,0.0,241.67638000017178,606.0961099999531,759.1405900000154
Ag,R2SCAN-D3,0.0,123.94195000001673,684.9274599999262,642.8030199999739
Ag,R2SCAN-D4,0.0,166.43223999994916,652.3266000001513,686.2166200000956
Ag,R2SCAN-RVV10,0.0,127.09880000011253,686.8834900001275,673.3681499999875
Ag,SCAN-rVV10,0.0,182.11076000011417,682.8395800000635,731.2592800001312
Ag,PBE0,0.0,383.3857900001476,493.39467000004333,919.4163500001196
Ag,PBE0-D30,0.0,-366.14159999999174,683.1534200000533,109.91110999998455
Ag,PBE0-D3,0.0,68.70455000012043,658.578929999976,640.466110000034
Ag,PBE0-D4,0.0,168.27813000008973,601.3447899999846,743.0475400001342
Ag,PBE0-TSHI,0.0,279.58885999987615,602.5221299998975,801.320879999821
Ag,HSE06,0.0,387.32392999986587,491.5643199999522,905.1943499998742
Ag,HSE06-D4,0.0,177.82218000002104,1388758.5176600001,733.4807300001103
Ag,B3LYP,0.0,554.8427799999445,376.2778299999354,882.810950000021
Ag,B3LYP-D2,0.0,95.49633999995422,707.636070000035,344.71880000000965
Ag,B3LYP-D2-Ne,0.0,95.49633999995422,707.636070000035,344.71880000000965
Ag,B3LYP-D30,0.0,-757.0524200000364,664.3359099998634,-526.6513400001713
Ag,B3LYP-D3,0.0,-42.05713999999716,655.320730000085,384.34697000002416
Ag,B3LYP-D4,0.0,-25.90611000005083,642.875869999898,486.0012799999822
Ag,HF,0.0,687.4063328542646,275.0366102405277,960.105205575381
Ag,MP2,0.0,89.34980754310347,806.2955251441643,1146.658983519045
Ag,CCSD,0.0,291.5200635602763,614.0633003742569,956.0219497654358
Ag,CCSD(T),0.0,186.92538814756796,676.8557459984794,906.6261693053149
Cu,PBE,0.0,120.62553999999182,927.9521600001317,1504.1866500000651
Cu,PBE-D2,0.0,-99.29538999995202,1114.148840000098,1090.6475000001592
Cu,PBE-D2-Ne,0.0,-99.29538999995202,1114.148840000098,1090.6475000001592
Cu,PBE-DDSC,0.0,1.686089999793694,1057.804939999869,1291.5058999999474
Cu,PBE-D30,0.0,34.68554999994922,1062.0233299998745,1349.7150799998963
Cu,PBE-D3,0.0,-50.88298999999097,1096.1610300000757,1256.6975899999306
Cu,PBE-TS,0.0,8.798350000006394,1163.0116300000282,1287.1815500000139
Cu,PBE-TSHI,0.0,28.375929999810978,1049.3266699998003,1324.4553899999119
Cu,PBE-D4,0.0,-14.1900200001146,1044.4376099999317,1331.5071499998794
Cu,PBE-MBDHI,0.0,-27.885689999948227,1042.9089699998713,1309.039349999921
Cu,PBE-MBDFI,0.0,-122.002860000066,1073.4685299999,1074.8073800000384
Cu,revPBE,0.0,244.59221000006437,790.6396299999869,1586.3520499999595
Cu,REVPBE-D30,0.0,67.24121000002015,989.7987399999693,1282.8130000000328
Cu,revPBE-D3,0.0,-107.84552000018266,1112.8440299999056,1082.361679999849
Cu,revPBE-D4,0.0,-22.094530000003942,976.4880799998537,1243.409310000061
Cu,PBEsol,0.0,-82.84312000000682,1126.4718200000061,1456.208869999955
Cu,PBEsol-D3,0.0,-204.09973000005266,1284.3770699998913,1261.3498999999138
Cu,PBEsol-D4,0.0,-143.27240000011443,1198.9749499998652,1361.8096899999728
Cu,vdW-DF,0.0,332.84659000003103,805.833219999954,1417.4977699999545
Cu,vdW-DF2,0.0,482.5454699999909,753.0897599999662,1458.5433199999898
Cu,optB86b-vdW,0.0,14.735500000028878,1074.68130999996,1333.1041999999798
Cu,rev-vdW-DF2,0.0,70.65309999995861,1026.9602599998962,1373.910159999923
Cu,R2SCAN,0.0,-49.595539999927496,1134.6039800000653,1529.7492499998953
